,year,brand,full_model_name,model_name,price,distance_travelled(kms),fuel_type,city
22,2016,Hyundai,Hyundai Eon Magna [2011-2012],Eon,335000.0,23797.0,Petrol,Pune
23,2015,Hyundai,Hyundai Elite i20 Asta 1.2,Elite,575000.0,42000.0,Petrol,Pune
24,2018,Mercedes-Benz,Mercedes-Benz E-Class E 220d Expression [2019-2019],E-Class,4250000.0,55000.0,Diesel,Pune
25,2020,Hyundai,Hyundai Tucson 2WD AT GLS Diesel,Tucson,2600000.0,10000.0,Diesel,Pune
26,2017,Hyundai,Hyundai Verna 1.6 VTVT S,Verna,675000.0,31414.0,Petrol,Pune
27,2016,Mercedes-Benz,Mercedes-Benz GLE 250 d,GLE,3900000.0,93000.0,Diesel,Pune
28,2013,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,325000.0,29708.0,Petrol,Pune
29,2016,Hyundai,Hyundai Elite i20 Asta 1.2 (O) [2016],Elite,650000.0,24694.0,Petrol,Pune
30,2018,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,580000.0,9500.0,Petrol,Pune
31,2018,Maruti Suzuki,Maruti Suzuki Swift VDi ABS [2014-2017],Swift,680000.0,22838.0,Diesel,Pune
32,2018,Tata,Tata Nexon KRAZ Plus AMT Diesel,Nexon,900000.0,16900.0,Diesel,Pune
33,2015,Maruti Suzuki,Maruti Suzuki Swift VXi,Swift,509999.99999999994,26000.0,Petrol,Pune
34,2018,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT [2017-2019],Celerio,505000.0,78000.0,Petrol,Pune
35,2016,Maruti Suzuki,Maruti Suzuki Celerio VXi AMT,Celerio,430000.0,83000.0,Petrol,Pune
36,2014,Nissan,Nissan Micra Active XV,Micra,405000.0,52000.0,Petrol,Pune
37,2017,Maruti Suzuki,Maruti Suzuki Swift VDi,Swift,630000.0,95000.0,Diesel,Pune
38,2011,Maruti Suzuki,Maruti Suzuki Wagon R 1.0 LXi,Wagon,295000.0,70000.0,Petrol,Pune
39,2016,Hyundai,Hyundai i10 Sportz 1.2 Kappa2,i10,490000.00000000006,46000.0,Petrol,Pune
40,2020,Honda,Honda Amaze 1.2 VX i-VTEC,Amaze,900000.0,8000.0,Petrol,Pune
41,2016,Maruti Suzuki,Maruti Suzuki Vitara Brezza LDi,Vitara,730000.0,83000.0,Diesel,Pune
42,2011,Maruti Suzuki,Maruti Suzuki Swift LDi,Swift,330000.0,79000.0,Diesel,Pune
43,2020,Honda,Honda Amaze 1.2 VX AT i-VTEC,Amaze,990000.0,7700.0,Petrol,Pune
44,2010,Honda,Honda City 1.5 S MT,City,345000.0,83000.0,Petrol,Pune
45,2012,Honda,Honda Brio S MT,Brio,320000.0,47000.0,Petrol,Pune
46,2015,Honda,Honda Brio S MT,Brio,409999.99999999994,19000.0,Petrol,Pune
47,2014,Maruti Suzuki,Maruti Suzuki Swift DZire VXI,Swift,525000.0,64000.0,Petrol,Pune
48,2016,Volkswagen,Volkswagen Vento Highline Diesel AT [2015-2016],Vento,740000.0,67000.0,Diesel,Pune
49,2016,Maruti Suzuki,Maruti Suzuki Ciaz ZDi SHVS,Ciaz,750000.0,79000.0,Diesel,Pune
50,2014,Honda,Honda Amaze 1.5 S i-DTEC,Amaze,455000.0,70000.0,Diesel,Pune
51,2008,Tata,Tata Indica Vista Aura + Quadrajet BS-III,Indica,190000.0,35000.0,Diesel,Pune
52,2018,Honda,Honda Amaze 1.2 S AT i-VTEC,Amaze,730000.0,18000.0,Petrol,Pune
53,2016,Honda,Honda Amaze 1.5 VX i-DTEC,Amaze,560000.0,72000.0,Diesel,Pune
54,2014,Honda,Honda Amaze 1.5 VX i-DTEC,Amaze,465000.00000000006,97000.0,Diesel,Pune
55,2017,Toyota,Toyota Innova Crysta 2.4 VX 8 STR [2016-2020],Innova,1795000.0,30889.0,Diesel,Pune
56,2017,Maruti Suzuki,Maruti Suzuki Swift VDi,Swift,630000.0,95000.0,Diesel,Pune
57,2010,Honda,Honda City 1.5 S MT,City,345000.0,83000.0,Petrol,Pune
58,2018,Tata,Tata Nexon XM,Nexon,750000.0,81000.0,Petrol,Pune
59,2015,Mercedes-Benz,Mercedes-Benz S-Class S 63 AMG,S-Class,13000000.0,13000.0,Petrol,Pune
60,2016,Volkswagen,Volkswagen Ameo Trendline 1.2L (P),Ameo,540000.0,24372.0,Petrol,Pune
61,2015,Hyundai,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],Grand,515000.00000000006,38660.0,Petrol,Pune
62,2010,Hyundai,Hyundai i20 Asta 1.2,i20,355000.0,53216.0,Petrol,Pune
63,2014,Maruti Suzuki,Maruti Suzuki Celerio ZXi,Celerio,385000.0,44463.0,Petrol,Pune
64,2011,Maruti Suzuki,Maruti Suzuki Alto K10 LXi,Alto,220000.00000000003,51921.0,Petrol,Pune
65,2011,Ford,Ford Figo Duratec Petrol Titanium 1.2,Figo,215000.0,75732.0,Petrol,Pune
66,2015,Hyundai,Hyundai Grand i10 Asta 1.2 Kappa VTVT [2013-2016],Grand,434999.99999999994,98265.0,Petrol,Pune
67,2016,Maruti Suzuki,Maruti Suzuki Celerio VXi,Celerio,420000.0,59105.0,Petrol,Pune
68,2011,Skoda,Skoda Fabia Elegance 1.2 MPI,Fabia,250000.0,81428.0,Petrol,Pune
69,2011,BMW,BMW 5 Series 520d Sedan,5,1275000.0,91000.0,Diesel,Pune
70,2011,Mercedes-Benz,Mercedes-Benz C-Class 250 CDI Elegance,C-Class,795000.0,81000.0,Diesel,Pune
